식품대분류명,대표식품명,에너지(kcal),단백질(g)
"곡류, 서류 제품",팝콘,511,8.3
과일류,과일,43,0.47
구이류,가자미구이,123,18.7
구이류,갈치구이,138,21.54
구이류,고등어구이,340,23.38
구이류,곱창,184,14.89
구이류,꼬치,245,17.85
구이류,닭구이,257,26.21
구이류,닭발,196,18.15
구이류,떡갈비,202,21.38
구이류,런천미트,303,17.56
구이류,뱅어포,374,34.37
구이류,버섯구이,52,5.16
구이류,삼겹살,467,22.56
구이류,삼치구이,178,21.42
구이류,새우구이,145,23.41
구이류,소불고기,170,16.41
구이류,스테이크,194,30.22
구이류,오리고기,293,24.06
구이류,오리불고기,145,6.75
구이류,장어구이,259,19.82
구이류,조개구이,130,17.43
구이류,조기구이,177,19.33
구이류,참치구이,193,26.56
구이류,치킨데리야끼,208,16.54
구이류,함박스테이크,174,12.1
구이류,갈매기살,312,26.98
구이류,꼼장어,163,21.35
구이류,꿩불고기,74,6.7
구이류,대창,595,9.11
구이류,더덕구이,184,3.1
구이류,도미구이,159,24.44
구이류,돼지갈비,240,19.5
구이류,돼지껍데기,348,23.74
구이류,돼지불고기,155,10.25
구이류,막창,358,15.34
구이류,연어,234,24.78
구이류,오겹살,408,20.18
구이류,임연수,198,21.52
구이류,차돌박이구이,488,17.94
구이류,콘치즈구이,224,9.51
구이류,황태구이,219,23.9
구이류,훈제오리,319,17.22
구이류,굴비구이,122,11.83
구이류,꽁치구이,80,9.39
구이류,소내장구이,92,6.75
구이류,오리고기로스,174,11.76
구이류,옥돔구이,39,4.91
구이류,옥수수구이,148,1.43
구이류,전어구이,33,5.86
구이류,감자구이,76,1.23
구이류,닭날개구이,129,11.25
구이류,닭다리구이,90,8.53
국 및 탕류,갈비탕,54,8.51
국 및 탕류,감자국,21,0.9
국 및 탕류,곰탕,24,3.43
국 및 탕류,굴국,25,2.41
국 및 탕류,김치국,23,1.34
국 및 탕류,내장탕,71,5.82
국 및 탕류,냉국,37,0.19
국 및 탕류,계란국,13,0.93
국 및 탕류,계란탕,29,1.78
국 및 탕류,닭곰탕,51,7.51
국 및 탕류,도가니탕,40,8.35
국 및 탕류,된장국,25,1.09
국 및 탕류,무국,15,1.33
국 및 탕류,묵국,22,1.0
국 및 탕류,미역국,12,0.65
국 및 탕류,배추국,16,1.84
국 및 탕류,북어국,28,3.89
국 및 탕류,사골국,55,5.56
국 및 탕류,삼계탕,101,10.68
국 및 탕류,새우탕,33,5.17
국 및 탕류,설렁탕,24,4.26
국 및 탕류,순대국,85,2.35
국 및 탕류,어묵국,31,1.49
국 및 탕류,오징어국,18,2.22
국 및 탕류,육개장,30,3.68
국 및 탕류,장어탕,67,4.32
국 및 탕류,재첩국,23,0.67
국 및 탕류,조개국,16,1.67
국 및 탕류,콩나물국,6,0.74
국 및 탕류,토란국,16,1.0
국 및 탕류,해장국,26,3.19
국 및 탕류,게국지,38,4.08
국 및 탕류,곰치국,42,5.43
국 및 탕류,꼬리곰탕,110,14.6
국 및 탕류,낙지탕,31,4.9
국 및 탕류,매생이국,24,2.0
국 및 탕류,묵말이,36,0.52
국 및 탕류,미소된장국,25,1.87
국 및 탕류,선짓국,42,6.4
국 및 탕류,소탕,58,5.1
국 및 탕류,아구탕,41,6.3
국 및 탕류,어묵탕,69,3.48
국 및 탕류,어탕,57,8.47
국 및 탕류,연포탕,54,9.49
국 및 탕류,올갱이국,24,2.28
국 및 탕류,육탕,58,8.44
국 및 탕류,전복탕,33,4.47
국 및 탕류,지리탕,44,6.93
국 및 탕류,초당순두부,58,5.46
국 및 탕류,탕국,37,5.27
국 및 탕류,홍합탕,29,3.68
국 및 탕류,황태해장국,30,4.08
국 및 탕류,닭고기육개장,39,4.96
국 및 탕류,닭백숙,56,4.23
국 및 탕류,들깨국,14,0.58
국 및 탕류,소고기육개장,26,2.07
국 및 탕류,유부국,17,1.08
국 및 탕류,미역냉국,14,0.6
김치류,고들빼기김치,71,3.0
김치류,깍두기,33,1.56
김치류,깻잎김치,62,2.82
김치류,나박김치,10,0.46
김치류,동치미,14,0.29
김치류,물김치,5,0.31
김치류,보쌈김치,30,2.19
김치류,부추김치,47,2.68
김치류,얼갈이배추김치,63,1.59
김치류,오이김치,38,2.06
김치류,갓김치,37,3.26
김치류,배추김치,38,1.97
김치류,백김치,16,0.95
김치류,열무김치,32,2.4
김치류,열무물김치,18,1.41
김치류,열무얼갈이김치,35,2.15
김치류,오이소박이,37,1.76
김치류,유채김치,62,3.5
김치류,유채물김치,17,1.0
김치류,총각김치,41,2.02
김치류,파김치,49,2.5
나물·숙채류,가지나물,36,1.42
나물·숙채류,고구마줄기나물,83,0.98
나물·숙채류,고사리나물무침,90,3.78
나물·숙채류,고춧잎나물무침,88,4.41
나물·숙채류,깻잎나물,78,2.68
나물·숙채류,냉이나물,111,5.02
