식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D202-110000000-0023,케이크_너트 브라우니,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,449,,5.88,25.88,,48.24,41.18,,,,,,52,,,,,,,,,101.18,7.06,0.00,3,식품의약품안전처,85g(o,공차,2,수집,2022-06-22,2023-01-05,1471000,식품의약품안전처
D202-110000000-0024,케이크_녹차바스크치즈케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,363,,5.26,,,,21.05,,,,,,147,,,,,,,,,,12.11,,3,식품의약품안전처,38g(o,마리웨일237,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0025,케이크_녹차티라미수케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,289,,3.96,,,,5.94,,,,,,81,,,,,,,,,,10.99,,3,식품의약품안전처,101g(,망원동티라미수,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0026,케이크_뉴욕 치즈케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,347,,4.72,,,,19.81,,,,,,178,,,,,,,,,,12.17,,3,식품의약품안전처,106g(,할리스,2,수집,2022-07-11,2023-01-05,1471000,식품의약품안전처
D202-110000000-0027,케이크_뉴욕슈치즈케이크 (조각),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,374,,7.10,,,,17.90,,,,,,187,,,,,,,,,,18.40,,3,식품의약품안전처,173g(,롤링핀,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0028,케이크_뉴욕치즈케이크 (조각),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,353,,8.00,,,,18.67,,,,,,213,,,,,,,,,,12.00,,3,식품의약품안전처,75g(o,따삐오,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0029,케이크_뉴욕치즈케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,340,,5.40,,,,15.70,,,,,,212,,,,,,,,,,14.70,,3,식품의약품안전처,720g(,롤링핀,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0030,케이크_뉴욕치즈케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,257,,4.62,,,,20.77,,,,,,123,,,,,,,,,,6.92,,3,식품의약품안전처,130g(,커피에 반하다,2,수집,2022-07-11,2023-01-05,1471000,식품의약품안전처
D202-110000000-0031,케이크_뉴욕치즈케이크케이크 (조각),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,304,,4.90,,,,20.59,,,,,,196,,,,,,,,,,13.73,,3,식품의약품안전처,102g(,투썸 플레이스,2,수집,2022-07-12,2023-01-05,1471000,식품의약품안전처
D202-110000000-0032,케이크_뉴욕치즈케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,317,,4.76,,,,18.79,,,,,,190,,,,,,,,,,12.49,,3,식품의약품안전처,841g(,투썸 플레이스,2,수집,2022-07-12,2023-01-05,1471000,식품의약품안전처
D202-110000000-0033,케이크_다크초코케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,375,,3.75,,,,22.50,,,,,,28,,,,,,,,,,15.00,,3,식품의약품안전처,80g(o,토프레소,2,수집,2022-07-11,2023-01-05,1471000,식품의약품안전처
D202-110000000-0034,케이크_다크초콜릿 롤케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,242,,4.55,,,,24.55,,,,,,75,,,,,,,,,,5.45,,3,식품의약품안전처,110g(,커피에 반하다,2,수집,2022-07-11,2023-01-05,1471000,식품의약품안전처
D202-110000000-0035,케이크_다크초콜릿케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,375,,3.75,15.00,,,22.50,,,,,,28,,,,,,,,,,,,3,식품의약품안전처,80g(o,드롭탑,2,수집,2022-06-23,2023-01-05,1471000,식품의약품안전처
D202-110000000-0036,케이크_다크포레누아케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,322,,5.22,7.57,,,18.09,,,,,,70,,,,,,,,,,,,3,식품의약품안전처,115g(,드롭탑,2,수집,2022-06-23,2023-01-05,1471000,식품의약품안전처
D202-110000000-0037,케이크_다크피칸브라우니,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,470,,6.00,,,,38.00,,,,,,190,,,,,,,,,,14.00,,3,식품의약품안전처,50g(o,투썸 플레이스,2,수집,2022-07-12,2023-01-05,1471000,식품의약품안전처
